2859	#17 Audi TT RS
2860	#7 Aston Martin V12 Vantage GT3
2866	Exomotive Exocet Sport V8 XP-5
2868	#6 Ford Mustang IMSA GT
2870	Honda Civic Type R '18
2872	Hyundai Veloster N
2874	Nissan Sentra Nismo
2875	#33 Mercedes-Benz A-Class (A45)
2909	Dodge Challenger SRT Demon
2910	Koenigsegg Agera RS
2967	#38 Oreca 07
2968	Aston Martin Valkyrie
2972	#62 Ferrari Risi Competizione 488 GTE 
2973	Alpine A110
2974	Ferrari 812 Superfast
2980	Ford GT40 MkI
2981	Ford Escort RS Turbo
2988	McLaren Senna
2993	TVR Griffith
2995	Volkswagen Golf GTI
2996	Formula Drift #13 Ford Mustang
3000	Formula Drift #777 Nissan 240SX
3003	Formula Drift #43 Dodge Viper SRT10
3018	#83 Nissan GTP ZX-Turbo
3019	Ferrari 166 Inter Sport
3023	#11 Porsche John Fitzpatrick Racing 956
3024	Aston Martin DBS '67
3028	#11 Merkur XR4Ti
3035	KTM X-Bow GT4
3046	Ford Mustang GT
3062	Ferrari 512 S
3064	Mercedes-AMG GT 4-Door Coupe
3071	BMW M5 '18
3072	Porsche 911 GT3 RS '19
3073	#1 BMW M8 GTE
3079	Shelby Monaco King Cobra
3080	#146 Matra-Simca Equipe Matra-Simca MS650 Tour de France
3091	Aston Martin Vantage
3112	#25 Ferrari 488 Challenge
3117	Porsche 718 Cayman GTS
3118	Chevrolet Corvette ZR1 '19
3123	Porsche 911 Carrera S
3125	Aston Martin Vanquish Zagato
3129	Renault Megane R26.R
3134	Renault Megane R.S.
3140	Rimac Concept Two
3141	Apollo Intensa Emozione
3149	Chevrolet Camaro ZL1 1LE
3153	McLaren 600LT Coupe
3154	McLaren 720S Spider
3155	McLaren Senna GTR
3157	#03 McLaren 720S GT3
3158	#15 Ford Whislter Racing Mustang
3161	#22 Volkswagen Golf GTI
3168	Bugatti Divo
3173	BMW Z4 Roadster
3181	Ford Mustang SVO
3182	Renault Clio R.S.16
3185	Aston Martin DBS Superleggera
3191	Lamborghini Espada 400 GT
3196	Raesr Tachyon Speed
3197	Mercedes-AMG GT3
3211	Aston Martin Vulcan AMR Pro
3212	Zenvo TSR-S
3214	#70 Porsche Motorsport 935
3215	Porsche 911 Speedster
3217	Lamborghini Huracan Performante
3218	#73 Porsche 911 GT3 R
3225	Ferrari Portofino
3226	Ferrari J50
3227	Ferrari 488 Pista
3228	Ford Racing Puma
3229	#44 Audi R8 LMS GT3
3231	#66 Vauxhall Astra
3239	#63 Lamborghini Squadra Corse Huracan Super Trofeo Evo 
3240	#36 Acura NSX GT3
3243	#7 Peugeot DG Sport Competition 308
3250	Mercedes-AMG E 63 S
3251	#98 Ford Breathless Pro Racing TA Mustang
3256	#23 Chevrolet Ruman Racing TA Corvette
3257	Nissan Pulsar GTI-R
3264	Audi RS 5 Coupe
3266	#14 BRM P201
3270	#4 McLaren M1B
3272	#1 Subaru Levorg GT
3276	Saleen S1
3277	Ford Mustang Shelby GT500
3281	#3 Cadillac Racing ATS-V.R
3283	#57 Cadillac TA CTS-V 
3285	Brabham BT62
3286	Audi TT RS
3287	Jaguar XJR-15
3289	Lamborghini Avetador SVJ
3292	#9 Dodge Challenger TA
3293	Jaguar XJ220S TWR
3301	#12 Lotus Team Lotus 98T
3307	Nissan 370Z Nismo
3309	#1 Lotus Type 40
3310	#75 Oldsmobile Cutlas Supreme TA
3311	Ferrari FXX K Evo
3312	Ferrari Monza SP2
3315	Koenigsegg Jesko
3316	#6 Buick Performance Somerset Regal Trans-AM
3318	Audi RS 4 Avant '18
3334	Elemental Rp1
3338	#24 Nissan Motorsport International R88C
3359	Audi RS e-tron GT
3360	Automobili Pininfarina Battista
3362	#23 Nissan Silvia Super Silhouette
3363	#23 Nissan Pennzoil NISMO Skyline GTR
3364	Aston Martin Valhalla Concept
3365	#11 Ligier Euro international JS P3
3366	Nio EP9
3367	Ferrari F8 Tributo
3369	Chevrolet Corvette Stingray Coupe
3371	Lamborghini Huracan Evo
3395	Renault 8 Gordini
3402	Toyota GR Supra
3403	#15 Renault Equipe Renault Elf R.S. 01
3412	Subaru STI S209
